Period,Quarter,FL US Equity,FL_US_Equity_ActualValue,Units_at_45,Scaled_Units_at_45,Rounded_Scaled_Units_at_45,Units_at_49,Scaled_Units_at_49,Rounded_Scaled_Units_at_49,Units_at_50,Scaled_Units_at_50,Rounded_Scaled_Units_at_50,Units_at_55,Scaled_Units_at_55,Rounded_Scaled_Units_at_55
02/02/08,Q1 2008,34.5865,34586500.0,768588.8888888889,7.685888888888889,8,705846.9387755102,7.0584693877551015,7,691730.0,6.9173,7,628845.4545454546,6.288454545454546,6
03/05/08,Q2 2008,29.5159,29515900.0,655908.8888888889,6.559088888888889,7,602365.306122449,6.02365306122449,6,590318.0,5.90318,6,536652.7272727273,5.366527272727273,5
02/08/08,Q3 2008,29.4533,29453300.0,654517.7777777778,6.545177777777777,7,601087.7551020408,6.010877551020409,6,589066.0,5.89066,6,535514.5454545454,5.355145454545454,5
01/11/08,Q4 2008,29.8602,29860200.0,663560.0,6.6356,7,609391.8367346938,6.093918367346938,6,597204.0,5.97204,6,542912.7272727273,5.429127272727273,5
31/01/09,Q1 2009,29.3907,29390700.0,653126.6666666666,6.531266666666666,7,599810.2040816327,5.998102040816327,6,587814.0,5.87814,6,534376.3636363636,5.3437636363636365,5
02/05/09,Q2 2009,26.918,26918000.0,598177.7777777778,5.981777777777777,6,549346.9387755102,5.493469387755102,5,538360.0,5.3836,5,489418.1818181818,4.894181818181818,5
01/08/09,Q3 2009,25.6347,25634700.0,569660.0,5.6966,6,523157.14285714284,5.231571428571429,5,512694.0,5.12694,5,466085.45454545453,4.660854545454545,5
31/10/09,Q4 2009,27.7005,27700500.0,615566.6666666666,6.155666666666666,6,565316.3265306122,5.653163265306122,6,554010.0,5.5401,6,503645.45454545453,5.0364545454545455,5
30/01/10,Q1 2010,29.9854,29985400.0,666342.2222222222,6.663422222222223,7,611946.9387755102,6.119469387755101,6,599708.0,5.99708,6,545189.0909090909,5.45189090909091,5
01/05/10,Q2 2010,27.7944,27794400.0,617653.3333333334,6.176533333333333,6,567232.6530612245,5.672326530612245,6,555888.0,5.55888,6,505352.7272727273,5.053527272727273,5
31/07/10,Q3 2010,24.7583,24758300.0,550184.4444444445,5.501844444444445,6,505271.4285714286,5.052714285714286,5,495166.0,4.95166,5,450150.9090909091,4.501509090909091,5
30/10/10,Q4 2010,27.9196,27919600.0,620435.5555555555,6.204355555555555,6,569787.7551020408,5.697877551020408,6,558392.0,5.58392,6,507629.0909090909,5.0762909090909085,5
29/01/11,Q1 2011,30.1106,30110600.0,669124.4444444445,6.691244444444445,7,614502.0408163265,6.145020408163265,6,602212.0,6.02212,6,547465.4545454546,5.474654545454546,5
30/04/11,Q2 2011,30.5801,30580100.0,679557.7777777778,6.795577777777778,7,624083.6734693878,6.240836734693878,6,611602.0,6.11602,6,556001.8181818182,5.560018181818182,6
30/07/11,Q3 2011,27.7631,27763100.0,616957.7777777778,6.169577777777778,6,566593.8775510204,5.665938775510203,6,555262.0,5.55262,6,504783.63636363635,5.047836363636364,5
29/10/11,Q4 2011,29.4533,29453300.0,654517.7777777778,6.545177777777777,7,601087.7551020408,6.010877551020409,6,589066.0,5.89066,6,535514.5454545454,5.355145454545454,5
28/01/12,Q1 2012,31.9886,31988600.0,710857.7777777778,7.108577777777778,7,652828.5714285715,6.5282857142857145,7,639772.0,6.39772,6,581610.9090909091,5.816109090909091,6
28/04/12,Q2 2012,32.5833,32583300.0,724073.3333333334,7.240733333333334,7,664965.306122449,6.64965306122449,7,651666.0,6.51666,7,592423.6363636364,5.924236363636363,6
28/07/12,Q3 2012,29.3907,29390700.0,653126.6666666666,6.531266666666666,7,599810.2040816327,5.998102040816327,6,587814.0,5.87814,6,534376.3636363636,5.3437636363636365,5
27/10/12,Q4 2012,31.8947,31894700.0,708771.1111111111,7.087711111111111,7,650912.2448979592,6.509122448979592,7,637894.0,6.37894,6,579903.6363636364,5.799036363636364,6
